Record Number,Section,Page Name,Discovered URL,Final URL,Canonical URL,URL Slug,HTTP Status,Indexable,Page Type,Primary Topic,Secondary Topics,Category,Publication Date,Last Modified,Author,H1,Meta Description,Opening Summary,Core Message,Primary Audience,Current Featured Image URL,Current Image Filename,Current Image Width,Current Image Height,Current Alt Text,Current OG Image,Current Twitter Image,Uses resources.png,Uses blog.png,Uses Other Generic Image,Needs New Image,Design Priority,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Design Status,Notes
134,Blog,Designing Secure Credential Lifecycle Management,https://ambisecure.ambimat.com/blog/credential-lifecycle-management/,https://ambisecure.ambimat.com/blog/credential-lifecycle-management/,https://ambisecure.ambimat.com/blog/credential-lifecycle-management/,blog/credential-lifecycle-management,200,Yes,ARCHITECTURE ARTICLE,Certificate lifecycle,Enterprise access; Attestation; Hardware security keys,Credential programme operations,2026-05-11,2026-05-11,AmbiSecure Engineering,Designing Secure Credential Lifecycle Management,"Credentials don't just get issued and used — they get re-issued, rotated, recovered, and revoked. The lifecycle every hardware-credential programme has to design.","Credentials don't just get issued and used — they get re-issued, rotated, recovered, and revoked. The lifecycle every hardware-credential programme has to design.","Credential programmes are designed around issuance and fail around everything else — rotation, recovery, revocation and attestation drift are the states that decide whether the programme survives production.",IAM leader,https://ambisecure.ambimat.com/assets/img/og/blog.png,blog.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/blog.png,https://ambisecure.ambimat.com/assets/img/og/blog.png,No,Yes,No,Yes,2,Issuance Is 30% of the Work,Eight States Every Credential Lives Through,ARCHITECTURE,LIFECYCLE,"Dominant object is a credential state ring, with the easy forward arc drawn thin and the hard transitions drawn heavy. Five states carry labels: Personalised, Enrolled/Active, Suspended, Rotated-out, Revoked (with Destroyed as the ring's exit). The relationship is that the heavy arrows all leave Active — to suspension, to rotation, to revocation — and the article's point is that these, not issuance, are where programmes break. What stays inside hardware is the keypair generated on the secure element at personalisation, drawn as a sealed chip icon that never opens at any state; the attestation record captured at issuance travels alongside as a logged artifact, not as key material. What communicates externally is registration to relying parties and a revocation signal fanning out to them with visible propagation delay. Allowed labels: AAGUID, attestation, serial, batch ID. Within VSG-PKI-LIFECYCLE this is the credential state ring; rec 137 is the CA hierarchy view.",Do not show an operator console generating or holding the private key — it is generated on the secure element; do not draw revocation as instantaneous at every relying party when propagation delay is the stated risk; do not present issuance as the terminal state of the ring; do not render the article's anonymised loss and helpdesk rates as AmbiSecure benchmarks,"Credential state ring from personalisation through enrolment, rotation and revocation, showing where hardware credentials keep keys on-chip across every transition.",ambisecure-blog-credential-lifecycle-management-1200x630.png,VSG-PKI-LIFECYCLE,Not started,"Body cites approximate anonymised operational figures (loss rates, helpdesk tickets). Keep numbers off the image entirely to avoid reading as vendor benchmarks."
135,Blog,Why Transit Validators Need Offline Trust Architecture,https://ambisecure.ambimat.com/blog/transit-validators-offline-trust-architecture/,https://ambisecure.ambimat.com/blog/transit-validators-offline-trust-architecture/,https://ambisecure.ambimat.com/blog/transit-validators-offline-trust-architecture/,blog/transit-validators-offline-trust-architecture,200,Yes,ARCHITECTURE ARTICLE,Transit security,Smart cards; NFC; Secure Elements,Transit fare systems,2026-05-11,2026-05-11,AmbiSecure Engineering,Why Transit Validators Need Offline Trust Architecture,Closed-loop transit ticketing has to keep collecting fares when the backend is unreachable. The architecture that lets validators do it without phoning home.,Closed-loop transit ticketing has to keep collecting fares when the backend is unreachable. The architecture that lets validators do it without phoning home.,"Closed-loop transit works because the validator and card decide the tap locally against a SAM-held master key, so fare collection survives a backend outage without fail-open or fail-closed.",Transit-system architect,https://ambisecure.ambimat.com/assets/img/og/blog.png,blog.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/blog.png,https://ambisecure.ambimat.com/assets/img/og/blog.png,No,Yes,No,Yes,1,"The Gate Decides, Not the Backend",Master Keys Never Leave the SAM,ARCHITECTURE,SYSTEM ARCHITECTURE,"Dominant object is a validator cutaway at a gate, with a DESFire card in the antenna field at the left and the backend at the right drawn behind a broken, greyed link. The flow crosses five nodes only: card, SAM (master key plus UID-diversified per-card key), host CPU marked as plumbing, the local SAM-MAC'd tap journal, and the unreachable backend. The relationship is that the mutual-auth handshake completes entirely between card and SAM with no backend round-trip, and the gate opens. What stays inside hardware is the master key and the key derivation inside the SAM — the host CPU never sees either. What communicates externally is the batched journal upload and the recent-revocations deny list, both drawn as dashed arrows that only flow when the link returns. Allowed labels: ISO/IEC 14443, DESFire EV2/EV3, AES-128, SAM, <300 ms. Within VSG-TRANSIT this is the offline-decision validator cutaway.","Do not show the host CPU holding, seeing, or passing master keys; do not draw the backend as required to authorise a tap — that is the architecture the page argues against; do not show a contact interface on a contactless ISO/IEC 14443 tap; do not present the hot list as sufficient on its own when SAM-derived mutual auth is the first tier","Transit validator cutaway where a SAM derives per-card keys and completes DESFire mutual authentication offline, journaling each tap for later reconciliation.",ambisecure-blog-transit-validators-offline-trust-architecture-1200x630.png,VSG-TRANSIT,Not started,
136,Blog,JavaCard Applet Development for Enterprise Identity,https://ambisecure.ambimat.com/blog/javacard-applet-development-enterprise-identity/,https://ambisecure.ambimat.com/blog/javacard-applet-development-enterprise-identity/,https://ambisecure.ambimat.com/blog/javacard-applet-development-enterprise-identity/,blog/javacard-applet-development-enterprise-identity,200,Yes,HOW-TO ARTICLE,JavaCard,Smart cards; APDU; Personalization,Smart-card engineering,2026-05-11,2026-05-11,AmbiSecure Engineering,JavaCard Applet Development for Enterprise Identity,"Building JavaCard applets that ship: AID design, lifecycle, secure messaging, personalisation, and the mistakes to avoid in enterprise identity.","Building JavaCard applets that ship: AID design, lifecycle, secure messaging, personalisation, and the mistakes to avoid in enterprise identity.","Shipping an enterprise JavaCard applet is embedded development with a Java surface — AID design, a rigid lifecycle, strict memory rules and GlobalPlatform plumbing decide whether it survives production.",JavaCard developer,https://ambisecure.ambimat.com/assets/img/og/blog.png,blog.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/blog.png,https://ambisecure.ambimat.com/assets/img/og/blog.png,No,Yes,No,Yes,1,JavaCard Is Not Java,AID Design to SCP03 Personalisation,TECHNICAL ARTICLE,LIFECYCLE,"Dominant object is the applet's path onto the card, drawn as a left-to-right rail: CAP file → GlobalPlatform LOAD → INSTALL (install() runs, storage allocated, AID registered) → SELECT by AID → PERSONALISE under SCP03 → LOCK. Five nodes only: CAP file, GP card manager, applet instance tagged with its AID split into RID (5 bytes) and PIX (0-11 bytes), the personalisation line's HSM, and the locked applet answering APDUs. What stays inside hardware is the per-card key material written under secure messaging and the process() dispatcher executing on the chip's crypto coprocessor. What communicates externally is the APDU exchange only — show a SELECT command in and status words 9000 on success, 6A82 on an unknown AID, coming back. Allowed labels: AID, RID, PIX, CAP, SCP02/SCP03, 9000, 6A82. Within VSG-APPLET-LIFECYCLE this is the only load-to-lock rail concept.",Do not depict a garbage collector or steady-state object allocation — JavaCard forbids both; do not show applet keys readable over the APDU interface after personalisation; do not draw personalisation happening in the clear without SCP02/SCP03 secure messaging; do not show two co-resident applet versions sharing one AID when version belongs in the AID,"JavaCard applet path from CAP file through GlobalPlatform load and install to SCP03 personalisation and lock, with AID selection over the APDU interface.",ambisecure-blog-javacard-applet-development-enterprise-identity-1200x630.png,VSG-APPLET-LIFECYCLE,Not started,"Invented VSG — no listed family covers applet software lifecycle (VSG-CARD-HARDWARE is physical, VSG-PKI-LIFECYCLE is credentials). Pulls through to the JavaCard applets product and JavaCard development service."
137,Blog,PKI Credential Issuance,https://ambisecure.ambimat.com/blog/pki-credential-issuance-workforce-government/,https://ambisecure.ambimat.com/blog/pki-credential-issuance-workforce-government/,https://ambisecure.ambimat.com/blog/pki-credential-issuance-workforce-government/,blog/pki-credential-issuance-workforce-government,200,Yes,ARCHITECTURE ARTICLE,PKI,Certificate lifecycle; Attestation; Government identity,PKI programme architecture,2026-05-11,2026-05-11,AmbiSecure Engineering,PKI Credential Issuance for Workforce and Government Identity,"Issuing X.509 credentials at workforce or government scale is more architecture than crypto — RA, CA, key custody, attestation, lifecycle, audit.","Issuing X.509 credentials at workforce or government scale is more architecture than crypto — RA, CA, key custody, attestation, lifecycle, audit.","The procedural side of PKI — CA/RA/VA roles, offline-root hierarchy, HSM key custody and attestation in the issuance flow — is what decides whether a workforce or government credential programme holds up.",PKI engineer,https://ambisecure.ambimat.com/assets/img/og/blog.png,blog.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/blog.png,https://ambisecure.ambimat.com/assets/img/og/blog.png,No,Yes,No,Yes,1,The CA Should Never Sign Blind,The Procedural Side Is Where PKI Breaks,ARCHITECTURE,TRUST CHAIN,"Dominant object is a two-tier hierarchy stacked vertically, with an air-gap gap drawn literally as white space under the root. Five nodes only: offline root CA sealed in a vault-stored HSM (ceremony-only, signs the issuing CA and nothing else), issuing CA in a networked HSM, RA as the identity-verification and policy gate in front of it, VA publishing OCSP/CRL from an operationally separate box, and the subscriber's hardware credential at the bottom. The relationship that carries the image is the attestation gate on the RA→CA path: the CSR arrives paired with a hardware attestation, the CA checks it against the manufacturer's attestation root, and a refused path branches away when the chip class is not on the approved list. What stays inside hardware is the subscriber keypair generated on-chip and every CA signing key inside its HSM. What communicates externally is the CSR plus attestation upward, the signed certificate downward, and revocation status from the VA. Allowed labels: root CA, issuing CA, RA, VA, OCSP, CRL, CSR, M-of-N. Within VSG-PKI-LIFECYCLE this is the tiered hierarchy with an attestation gate; rec 134 is the credential state ring.","Do not draw the root CA online, networked, or issuing end-entity certificates; do not show a CA signing key existing outside an HSM at any point including backup; do not show the subscriber's private key travelling inside the CSR — only the public key and attestation do; do not have the issuing CA serve its own revocation status when the VA is operationally separate","Two-tier PKI issuance architecture with an offline root, HSM-backed issuing CA, and an RA gate that checks hardware attestation before any certificate is signed.",ambisecure-blog-pki-credential-issuance-workforce-government-1200x630.png,VSG-PKI-LIFECYCLE,Not started,"Supports the government-and-defence and enterprise-access industry pages; FIPS levels cited in body are deployment guidance, not AmbiSecure claims."
138,Blog,Cyber Security Threats,https://ambisecure.ambimat.com/blog/cyber-security-threats-overview/,https://ambisecure.ambimat.com/blog/cyber-security-threats-overview/,https://ambisecure.ambimat.com/blog/cyber-security-threats-overview/,blog/cyber-security-threats-overview,200,Yes,SECURITY ANALYSIS,Phishing-resistant authentication,Passwordless authentication; Hardware security keys; Device identity,Threat landscape,2026-05-11,2026-05-11,AmbiSecure Engineering,Cyber Security Threats — What Actually Matters in 2026,"A modern, clear-eyed overview of the cyber-security threats that drive identity and hardware-credential decisions in 2026 — phishing, MFA bypass, SIM swap.","A modern, clear-eyed overview of the cyber-security threats that drive identity and hardware-credential decisions in 2026 — phishing, MFA bypass, SIM swap.",The threat list is endless but the list that should drive identity and hardware-credential spending is short — and most of it is answered by origin-bound credentials and hardware-rooted identity.,CISO,https://ambisecure.ambimat.com/assets/img/og/blog.png,blog.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/blog.png,https://ambisecure.ambimat.com/assets/img/og/blog.png,No,Yes,No,Yes,1,Six Threats That Actually Drive Decisions,"AitM Proxies Beat SMS, TOTP and Push",SECURITY EXPLAINER,CONCEPTUAL ILLUSTRATION,"Dominant object is a threat board of five tiles — AitM reverse-proxy phishing, MFA push fatigue, SIM swap, credential stuffing, device cloning / key extraction — each tile paired with the one control that answers it, all converging on a single origin-bound gate at the right. The relationship the image must carry is the AitM lane: the proxy relays the user's session to the real site and harvests the cookie, and SMS/TOTP/push tiles pass straight through it, while the FIDO2 lane stops at the gate because the origin does not match. What stays inside hardware is the credential private key that will not produce a signature for the wrong origin, drawn sealed in the authenticator at the gate. What communicates externally is the origin-checked WebAuthn assertion. Allowed labels: AitM, FIDO2, WebAuthn, origin binding, AAGUID, SMS/TOTP/push. Within VSG-THREAT-LANDSCAPE this is the threat-to-control board with an AitM proxy lane.",Do not show FIDO2 defeating post-authentication session-token abuse — the property depicted is origin binding at sign-in; do not depict TOTP or push as origin-bound; do not show a SIM swap defeating a hardware-bound FIDO credential when the real exposure is the SMS recovery path; do not present supply-chain compromise as solved by hardware credentials rather than blast-radius limits,"Threat board pairing AitM phishing, push fatigue, SIM swap and device cloning with the origin-bound, hardware-rooted controls that actually answer each one.",ambisecure-blog-cyber-security-threats-overview-1200x630.png,VSG-THREAT-LANDSCAPE,Not started,Thinnest body in the batch (~5.2k chars) but functions as the top-of-funnel hub linking to the cornerstone cluster. Year is in the H1 — keep '2026' off the image so the asset does not date.
139,Blog,Where Your AmbiSecure FIDO Key Works,https://ambisecure.ambimat.com/blog/fido-supported-services/,https://ambisecure.ambimat.com/blog/fido-supported-services/,https://ambisecure.ambimat.com/blog/fido-supported-services/,blog/fido-supported-services,200,Yes,PRODUCT EDUCATION,FIDO2,WebAuthn; Hardware security keys; Enterprise access,FIDO & WebAuthn,2026-05-11,2026-05-11,AmbiSecure Engineering,Where Your AmbiSecure FIDO Key Works,"A current, vendor-neutral overview of the services and platforms that accept FIDO2 / WebAuthn authentication — cloud SaaS, OS-level sign-in, IdPs, and developer platforms.","A current, vendor-neutral overview of the services and platforms that accept FIDO2 / WebAuthn authentication — cloud SaaS, OS-level sign-in, IdPs, and developer platforms.","An AmbiSecure FIDO2 authenticator works with any WebAuthn relying party, so the useful deployment question is which legacy corners still need a validation server behind SSO.",IAM leader,https://ambisecure.ambimat.com/assets/img/og/blog.png,blog.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/blog.png,https://ambisecure.ambimat.com/assets/img/og/blog.png,No,Yes,No,Yes,2,Ask What Doesn't Work Yet,"One IdP, Every SP Inherits FIDO2",REFERENCE,SYSTEM ARCHITECTURE,"Dominant object is an AmbiSecure FIDO2 authenticator (USB-C with NFC) at the left, feeding a hub-and-spoke fan-out. Five nodes only: the authenticator, the IdP hub carrying an AAGUID allow-list, the SaaS estate inheriting FIDO2 through SSO (drawn as a dense but unlabelled tile field), OS-level sign-in (Windows Hello platform authenticator, PAM-U2F), and a small shaded 'not yet' bucket of legacy apps served by a FIDO Validation Server. The relationship is inheritance: one configuration at the hub reaches every spoke, which is why the spokes carry no individual branding. What stays inside hardware is the credential private key and user verification; what communicates externally is a WebAuthn assertion bound to a single origin, drawn bouncing off a second origin to show it does not travel. Allowed labels: FIDO2, WebAuthn, AAGUID, SSO, PAM-U2F. Within VSG-ENTERPRISE-ACCESS this is the IdP fan-out coverage view.","Do not use third-party logos or imply AmbiSecure endorses, certifies, or has tested the listed services; do not show the authenticator storing per-service passwords or secrets; do not conflate a synced passkey with the hardware authenticator the page is about; do not show one WebAuthn assertion being accepted at a second origin","Coverage map fanning an AmbiSecure FIDO2 authenticator through an IdP to the SaaS estate, OS sign-in, and the legacy apps a validation server still has to cover.",ambisecure-blog-fido-supported-services-1200x630.png,VSG-ENTERPRISE-ACCESS,Not started,"Page is an explicitly dated snapshot ('Refreshed 2026-05', 'treat vendor docs as authoritative') and will age — keep dates and vendor names out of the image so it survives content refreshes. Logo use would create a false-endorsement risk."
140,Blog,How FIDO Authentication Works,https://ambisecure.ambimat.com/blog/how-fido-authentication-works/,https://ambisecure.ambimat.com/blog/how-fido-authentication-works/,https://ambisecure.ambimat.com/blog/how-fido-authentication-works/,blog/how-fido-authentication-works,200,Yes,STANDARDS EXPLAINER,FIDO2,WebAuthn;Phishing-resistant authentication;Hardware security keys,FIDO & WebAuthn,2026-05-11,2026-05-11,AmbiSecure Engineering,How FIDO Authentication Works,"A clear, non-academic explanation of how FIDO2 / WebAuthn actually works — registration, authentication, origin binding, what device and server do.","A clear, non-academic explanation of how FIDO2 / WebAuthn actually works — registration, authentication, origin binding, what device and server do.","FIDO2 / WebAuthn replaces the password with an origin-bound public-key signature generated inside a hardware authenticator, so a look-alike domain can never obtain a usable credential.",Security architect,https://ambisecure.ambimat.com/assets/img/og/blog.png,blog.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/blog.png,https://ambisecure.ambimat.com/assets/img/og/blog.png,No,Yes,No,Yes,1,The origin is in the signature,Public-key signatures replace shared secrets,SECURITY EXPLAINER,PROTOCOL FLOW,"Dominant object: a single left-to-right ceremony rail running from a relying-party panel to a sealed hardware authenticator, forking at an origin gate on the right. The flow reads as one login: the RP issues a fresh challenge plus its origin and the stored credential ID, the browser relays it over CTAP2, and the authenticator resolves a credential bound to that exact origin before it will sign — exactly five nodes: relying party, browser / WebAuthn client, CTAP2 link, authenticator (private key + credential store + UV check), and the origin gate that splits to example.com (signature returned, sign-in succeeds) versus examp1e.com (no credential bound, ceremony silently fails). Everything inside the authenticator's sealed outline stays there: the private key, the per-origin credential lookup, and the PIN/biometric UV step; the only things crossing the boundary are the challenge and origin travelling in, and the signature plus (at registration) the public key travelling out. Allowed labels: 'challenge', 'origin', 'example.com', 'examp1e.com', 'signature', 'public key', 'CTAP2', 'UV' — and nothing must imply that the user or the browser spotted the typosquatted domain, because the whole point is that the authenticator simply holds no credential for the wrong origin. VSG variation: this is the canonical end-to-end registration/authentication ceremony with the origin fork as the dominant form; sibling FIDO pages in this group vary by node set (byte-level attestation, authenticator form factor, storage comparison) and must not reuse the fork.","Do not show the private key or credential store leaving the authenticator outline — only the signature and the public key cross the boundary; Do not depict the browser, a warning banner, or the user detecting and blocking examp1e.com — the authenticator finds no credential bound to that origin and the ceremony silently fails; Do not draw a synced-passkey cloud or account-recovery path as part of this flow, which shows a device-bound hardware authenticator; Do not merge WebAuthn and CTAP2 into one labelled link — WebAuthn is browser-to-relying-party, CTAP2 is browser-to-authenticator; Do not include a password field, TOTP digits, or an SMS code anywhere in the ceremony",Diagram of an AmbiSecure FIDO2 authenticator signing a challenge bound to example.com while a look-alike domain finds no matching credential and fails.,ambisecure-blog-how-fido-authentication-works-1200x630.png,VSG-FIDO-CEREMONY,Not started,"INPUT MISMATCH — human review: the batch-12 task description said this record is the /blog/ directory hub and asked for page_type OTHER BLOG. It is not. Record 140 in batch-12-blog.json is the article 'How FIDO Authentication Works' (url /blog/how-fido-authentication-works/). The blog hub is a separate record, rec 26 in batch-09-blog.json (sect blog-hub). This brief is written for the article per the actual input record, since rec must match input and hub framing would have mis-briefed the article and duplicated rec 26. Confirm hub coverage lands via batch-09. Cornerstone FIDO explainer — many see-also links point to it, so priority 1."
141,Resource,Standards evolution timelines,https://ambisecure.ambimat.com/resources/timelines/,https://ambisecure.ambimat.com/resources/timelines/,https://ambisecure.ambimat.com/resources/timelines/,resources/timelines,200,Yes,OTHER RESOURCE,Other,FIDO2; PIV; Secure Elements,Standards evolution,,2026-06-19,,How the standards we build against have evolved.,"Decade-scale evolution of the standards AmbiSecure builds against — FIDO, PIV, ePassport, OTP, smart cards, WebAuthn, secure elements.","Decade-scale evolution of the standards AmbiSecure builds against — FIDO, PIV, ePassport, OTP, smart cards, WebAuthn, secure elements.","An index to seven decade-scale timelines tracing how the authentication, identity and trust standards AmbiSecure builds against actually accumulated.",Security architect,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,"Seven standards families, decade by decade",Standards do not arrive fully formed,REFERENCE,CONCEPTUAL ILLUSTRATION,"Dominant object: a braid — seven thin standards lanes entering from the left and converging into one spine at the right, reading as an index across the whole set rather than any single technology's timeline. Lane labels sit small at the left edge (FIDO, PIV, ePassport, OTP/SMS, smart cards, WebAuthn, secure elements) and are supporting texture, not nodes; the five major nodes are era bands marked on the shared spine at 1974, 1991, 2005, 2018 and 2026, the real origin and inflection years drawn from the child pages. The relationship: the lanes start decades apart and only converge late, toward hardware-rooted, phishing-resistant credentials. Nothing hardware-internal is depicted here — this is an index view, not a device drawing; what is 'external' is the spec bodies themselves (ISO, ICAO, NIST, W3C, FIDO Alliance) named along the spine. Labels allowed: the seven lane names, the five years, the spec-body names. Must not imply a single unified standard or an AmbiSecure-authored roadmap.","Do not present the hub as one technology's timeline — it indexes seven separate standards families; Do not imply AmbiSecure authored, owns or governs any of these specifications (ISO, ICAO, NIST, W3C, FIDO Alliance do); Do not draw the lanes as starting together — smart cards begin in 1974 while the FIDO Alliance forms in 2012; Do not show the OTP/SMS lane as an active recommended path — the set marks it as removed from AAL2+; Do not show a single terminal endpoint implying the standards have stopped evolving","Seven standards lanes — FIDO, PIV, ePassport, OTP, smart cards, WebAuthn, secure elements — converging on hardware-rooted trust in the AmbiSecure index.",ambisecure-resources-timelines-1200x630.png,VSG-TIMELINE,Not started,"HUB page, not an article — it indexes the seven child timelines (recs 142-148). Concept deliberately spans the set (braid of lanes + shared era spine) so it does not duplicate any child's dominant object. Only hub in the VSG-TIMELINE group."
142,Resource,FIDO evolution timeline,https://ambisecure.ambimat.com/resources/timelines/fido/,https://ambisecure.ambimat.com/resources/timelines/fido/,https://ambisecure.ambimat.com/resources/timelines/fido/,resources/timelines/fido,200,Yes,TECHNICAL EXPLAINER,FIDO2,WebAuthn; Passkeys; Hardware security keys,FIDO & WebAuthn,,2026-06-19,,FIDO — from FIDO 1.0 to passkeys.,"A chronological timeline of FIDO standards evolution, from FIDO 1.0 / U2F through CTAP, FIDO2, WebAuthn, and modern multi-device passkeys.","A chronological timeline of FIDO standards evolution, from FIDO 1.0 / U2F through CTAP, FIDO2, WebAuthn, and modern multi-device passkeys.","The fourteen-year path from a U2F second factor to multi-device passkeys, and why relying parties now need per-credential provenance policy.",IAM leader,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,From U2F dongle to synced passkey,Why FIDO2 replaced the second factor,REFERENCE,LIFECYCLE,"Dominant object: a left-to-right ratchet of five year plinths, each carrying the physical artefact of its era rather than a generic dot — 2012 an empty FIDO Alliance seal, 2014 a U2F dongle (FIDO 1.0, UAF + U2F), 2018 a FIDO2 pairing badge showing WebAuthn L1 CR beside CTAP2.0, 2022 a phone holding a synced multi-device passkey, 2026 a validation-server policy card reading AAGUID + transport. The relationship: the credential grows steadily more portable left to right, and the diagram's tension is that key custody weakens as portability rises. Stays inside hardware: the private key in the dongle and in the secure element, drawn sealed at those markers only. Communicates externally: public key, AAGUID and attestation statement. Labels allowed: U2F, FIDO2, CTAP2.0/2.1, WebAuthn L1/L2/L3, passkeys, AAGUID, MDS3. Varies from the other VSG-TIMELINE pages by using authenticator form factors as its era markers. Must not imply a synced passkey is hardware-bound.","Do not show the 2022 synced passkey as hardware-bound or claim its private key never leaves the device — that property holds for the attested hardware authenticators, not synced credentials; Do not date WebAuthn's W3C Recommendation to 2018 — 2018 is Candidate Recommendation, 2019 the Recommendation; Do not show UAF surviving past 2018 — the FIDO2 brand replaced UAF + U2F; Do not imply AmbiSecure authored the FIDO specifications — only the 2026 validation-server milestone is AmbiSecure's; Do not show CTAP2.1 features such as discoverable credentials or alwaysUv before 2023",Milestone markers running from the 2012 FIDO Alliance and U2F keys through FIDO2 and CTAP2 to multi-device passkeys and per-credential provenance policy.,ambisecure-resources-timelines-fido-1200x630.png,VSG-TIMELINE,Not started,"Shares VSG-TIMELINE with recs 141, 143-148; varied by dominant object (authenticator form-factor artefacts on a ratchet) and by era markers 2012/2014/2018/2022/2026. Highest LinkedIn value of the timeline set. Close adjacency to rec 147 — the two concepts are deliberately split hardware-artefact vs spec-level."
143,Resource,PIV evolution timeline,https://ambisecure.ambimat.com/resources/timelines/piv/,https://ambisecure.ambimat.com/resources/timelines/piv/,https://ambisecure.ambimat.com/resources/timelines/piv/,resources/timelines/piv,200,Yes,TECHNICAL EXPLAINER,PIV,Government identity; Smart cards; FIDO2,Government identity,,2026-06-19,,PIV — from FIPS 201 to derived credentials.,"A chronological timeline of PIV standards evolution — FIPS 201, SP 800-73, derived PIV credentials, and the modern multi-form-factor PIV deployment.","A chronological timeline of PIV standards evolution — FIPS 201, SP 800-73, derived PIV credentials, and the modern multi-form-factor PIV deployment.",How PIV moved from a federal smart-card mandate to a multi-form-factor credential family while keeping its SP 800-73 functional surface intact.,Government programme,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,PIV outgrew the card,"One credential family, four form factors",REFERENCE,LIFECYCLE,"Dominant object: one PIV credential drawn five times as it changes body, morphing rather than repeating — 2004 an HSPD-12 policy directive with no chip at all, 2005 a FIPS 201 contact card, 2014 a phone carrying an SP 800-157 derived credential, 2018 an SP 800-73-4 BER-TLV data model with key reference codes 9A / 9C / 9D / 9E, 2026 a nano-card secure element sitting beside a FIDO2 key as an alternative AAL3 factor. The relationship: the packaging changes at every marker while the SP 800-73 functional surface underneath stays constant — that constancy is the whole point. Stays inside hardware: the PIV authentication private key, in every form factor shown. Communicates externally: the credential certificates and PIV data objects a relying system reads. Labels allowed: HSPD-12, FIPS 201, SP 800-157, SP 800-73-4, 9A/9C/9D/9E, OMB M-22-09. Varies within VSG-TIMELINE by morphing a single object across eras instead of plotting separate events. Must not show the derived credential orphaned from its parent card.",Do not show a derived PIV credential as independent of its parent card — SP 800-157 derives it from a parent PIV card; Do not show a private key travelling from card to phone during derivation — the derived credential's key is generated on the target device; Do not credit derived credentials to FIPS 201-2 — SP 800-157 (2014) defines the pattern; Do not depict SP 800-73-4 as superseded — the page states it is still the implementation target; Do not merge PIV and FIDO2 into one credential — the 2026 milestone treats them as alternative phishing-resistant factors under per-tenant policy,"A PIV credential shown across card, USB token, phone and nano-card secure element, its SP 800-73 surface unchanged, in the AmbiSecure standards-evolution set.",ambisecure-resources-timelines-piv-1200x630.png,VSG-TIMELINE,Not started,"Shares VSG-TIMELINE; varied by dominant object (one credential morphing across form factors) and by era markers 2004/2005/2014/2018/2026. Page body has a typo (""OEM and OEM"") in the 2024 entry — flag for human review, does not affect the brief."
