Record Number,Section,Page Name,Canonical URL,Page Type,Primary Topic,Secondary Topics,Category,Design Priority,Core Message,Primary Audience,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Current Image Filename,Design Status,Notes
143,Resource,PIV evolution timeline,https://ambisecure.ambimat.com/resources/timelines/piv/,TECHNICAL EXPLAINER,PIV,Government identity; Smart cards; FIDO2,Government identity,2,How PIV moved from a federal smart-card mandate to a multi-form-factor credential family while keeping its SP 800-73 functional surface intact.,Government programme,PIV outgrew the card,"One credential family, four form factors",REFERENCE,LIFECYCLE,"Dominant object: one PIV credential drawn five times as it changes body, morphing rather than repeating — 2004 an HSPD-12 policy directive with no chip at all, 2005 a FIPS 201 contact card, 2014 a phone carrying an SP 800-157 derived credential, 2018 an SP 800-73-4 BER-TLV data model with key reference codes 9A / 9C / 9D / 9E, 2026 a nano-card secure element sitting beside a FIDO2 key as an alternative AAL3 factor. The relationship: the packaging changes at every marker while the SP 800-73 functional surface underneath stays constant — that constancy is the whole point. Stays inside hardware: the PIV authentication private key, in every form factor shown. Communicates externally: the credential certificates and PIV data objects a relying system reads. Labels allowed: HSPD-12, FIPS 201, SP 800-157, SP 800-73-4, 9A/9C/9D/9E, OMB M-22-09. Varies within VSG-TIMELINE by morphing a single object across eras instead of plotting separate events. Must not show the derived credential orphaned from its parent card.",Do not show a derived PIV credential as independent of its parent card — SP 800-157 derives it from a parent PIV card; Do not show a private key travelling from card to phone during derivation — the derived credential's key is generated on the target device; Do not credit derived credentials to FIPS 201-2 — SP 800-157 (2014) defines the pattern; Do not depict SP 800-73-4 as superseded — the page states it is still the implementation target; Do not merge PIV and FIDO2 into one credential — the 2026 milestone treats them as alternative phishing-resistant factors under per-tenant policy,"A PIV credential shown across card, USB token, phone and nano-card secure element, its SP 800-73 surface unchanged, in the AmbiSecure standards-evolution set.",ambisecure-resources-timelines-piv-1200x630.png,VSG-TIMELINE,resources.png,Not started,"Shares VSG-TIMELINE; varied by dominant object (one credential morphing across form factors) and by era markers 2004/2005/2014/2018/2026. Page body has a typo (""OEM and OEM"") in the 2024 entry — flag for human review, does not affect the brief."
144,Resource,ePassport evolution timeline,https://ambisecure.ambimat.com/resources/timelines/epassport/,TECHNICAL EXPLAINER,Government identity,Smart cards; PKI; NFC,Travel documents & border identity,2,"How the electronic travel document went from an optical MRZ strip to a PACE-protected, biometric-rich chip with PKD-distributed trust roots.",Government programme,Why BAC gave way to PACE,From printed MRZ to digital travel credential,REFERENCE,LIFECYCLE,"Dominant object: the chip-to-reader channel itself, drawn as a channel that hardens and widens across five era markers — not the passport booklet. 1980 an optical MRZ strip read by light; 2004 a BAC-protected contactless read keyed from the MRZ; 2006 the ICAO PKD fanning CSCA / DSC trust anchors out to inspection systems; 2012 PACE replacing BAC with stronger key derivation and forward secrecy on the chip-reader link (Doc 9303 7th ed.); 2022 an ICAO DTC extracted from the chip and bound to a phone. The relationship: every step closes a channel weakness rather than adding data. Stays inside hardware: the chip's authentication private key and the EAC-gated fingerprint biometrics. Communicates externally: DSC-signed LDS data groups and PKD-distributed anchors. Labels allowed: MRZ, BAC, PACE, SAC, EAC, LDS2, CSCA/DSC, ICAO 9303. Varies within VSG-TIMELINE by evolving the reader channel rather than the credential. Must not show biometrics readable without terminal authentication.","Do not show BAC and PACE as concurrent equals — SAC (PACE) supersedes BAC, which survives only as a reader fall-back for older equipment; Do not show fingerprint biometrics released without EAC terminal authentication — only the face image sits behind BAC/PACE; Do not place a CSCA or DSC private key on the chip — the chip carries DSC-signed data, not CA keys; Do not depict the ICAO DTC as replacing the physical passport — the page frames it as derived from the chip and bound to a mobile credential; Do not conflate DESFire EV2 national-ID pilots with ICAO 9303 eMRTD chips","The ePassport chip-to-reader channel hardening from optical MRZ through BAC and PACE to ICAO Digital Travel Credentials, with PKD-distributed trust anchors.",ambisecure-resources-timelines-epassport-1200x630.png,VSG-TIMELINE,resources.png,Not started,"Shares VSG-TIMELINE; varied by dominant object (the reader channel, not the credential) and by era markers 1980/2004/2006/2012/2022. PACE-CAM appears in the H1 but not in the body milestones — brief stays on PACE/SAC, which the body supports."
145,Resource,OTP and SMS authentication evolution timeline,https://ambisecure.ambimat.com/resources/timelines/otp-sms/,TECHNICAL EXPLAINER,Phishing-resistant authentication,Telecom authentication; FIDO2; Passwordless authentication,MFA & authentication factors,2,"Forty-five years of one-time passwords — invented, standardised, weaponised, and finally struck from AAL2+ in favour of phishing-resistant factors.",IAM leader,The 45-year OTP era ends,Why SMS stopped counting as MFA,REFERENCE,LIFECYCLE,"Dominant object: two crossing lines rather than one spine — a descending arc tracking the shared secret's assurance against a rising line tracking the FIDO key pair, crossing around 2019. Five markers sit on the descending arc: 1981 Lamport's one-way hash chain (S/Key), 2005 RFC 4226 HOTP's HMAC counter, 2011 RFC 6238 TOTP's 30-second time step, 2017 an SS7 / SIM-swap interception severing the SMS delivery leg, 2025 NIST SP 800-63-4 striking SMS from AAL2+. The relationship the image must land: every OTP is a shared secret that exists in two places and can be relayed to an attacker; a key pair cannot. What is 'inside hardware' is only the SecurID / TOTP seed — draw it as copied to a server, not sealed. What travels externally is the six-digit code, which is the whole problem. Labels allowed: S/Key, RFC 4226, RFC 6238, SS7, SIM-swap, OMB M-22-09, NIST SP 800-63-4. Varies within VSG-TIMELINE by using two crossing trend lines instead of a marker spine.","Do not imply HOTP or TOTP are cryptographically broken — the failure is the shared secret and the relay channel, not the HMAC construction; Do not draw SS7 interception as an attack on the OTP algorithm — it compromises the SMS delivery channel and the phone number; Do not pin NIST's SMS restriction to one year — SP 800-63-3 deprecated it for AAL2+ in 2016/2017 and SP 800-63-4 firms up the prohibition in 2025; Do not show TOTP as fully removed — the page retains it as a recovery method, just not a primary factor; Do not depict AmbiSecure as an OTP vendor — the page's endpoint is FIDO and hardware tokens","Assurance of shared-secret one-time passwords declining from S/Key and HOTP through SIM-swap and NIST's SMS removal, crossed by the rise of FIDO key pairs.",ambisecure-resources-timelines-otp-sms-1200x630.png,VSG-TIMELINE,resources.png,Not started,"Shares VSG-TIMELINE; varied by dominant object (two crossing trend lines) and by era markers 1981/2005/2011/2017/2025. No exact primary_topic exists for OTP in the allowed list — mapped to Phishing-resistant authentication, which is the page's endpoint; flag if a topic value is added."
146,Resource,Smart-card evolution timeline,https://ambisecure.ambimat.com/resources/timelines/smart-cards/,TECHNICAL EXPLAINER,Smart cards,JavaCard; Secure Elements; NFC,Smart-card engineering,2,"Fifty years of smart-card evolution, from a single memory cell to a firewalled chip hosting a dozen AID-selectable credential applets.",Smart-card engineer,"One card, twelve applets, one firewall",ISO/IEC 7816 to FIDO2 on JavaCard,REFERENCE,LIFECYCLE,"Dominant object: a single card die shown in five internal states, gaining compartments over time rather than a row of separate cards — 1974 one undivided Moreno memory cell; 1987 an ISO/IEC 7816 contact-pad die with a single file system; 1996 a JavaCard 1.0 VM hosting two applets; 2008 a struck-through Crypto-1 block as MIFARE Classic falls and DESFire migration begins; 2026 a JCVM firewall partitioning up to a dozen AID-selectable applets (FIDO2, PIV, OpenPGP, NDEF). The relationship: what changed is isolation and capacity, not the card's outline. Stays inside hardware: each applet's keys behind the firewall, plus SCP03 personalisation keys. Communicates externally: only APDUs across the contact or ISO/IEC 14443 contactless interface. Labels allowed: ISO/IEC 7816, ISO/IEC 14443, JavaCard, GlobalPlatform SCP03, DESFire EV2, AID, JCVM. Varies within VSG-TIMELINE by partitioning one die internally rather than relocating or reshaping it. Must not show applets reading each other's memory.","Do not show co-resident applets sharing memory — the JCVM firewall isolates them and cross-applet access requires shareable interfaces; Do not apply the 2008 Crypto-1 break to DESFire — Crypto-1 is MIFARE Classic, and DESFire was the migration target; Do not show SCP03 before 2015 or with non-AES keys — SCP03 mandates AES-128; Do not draw a contact pad on the ISO/IEC 14443 contactless milestone; Do not imply every AmbiSecure card ships twelve applets — the page describes an AID-selectable co-resident architecture, not a fixed load-out",A smart-card die evolving from a Moreno memory cell through ISO/IEC 7816 and JavaCard to a JCVM firewall isolating a dozen AID-selectable credential applets.,ambisecure-resources-timelines-smart-cards-1200x630.png,VSG-TIMELINE,resources.png,Not started,"Shares VSG-TIMELINE; varied by dominant object (one die's internal partitioning) and by era markers 1974/1987/1996/2008/2026. Deliberately distinct from rec 148, which relocates a die across host products rather than subdividing it."
147,Resource,WebAuthn and passkey evolution timeline,https://ambisecure.ambimat.com/resources/timelines/webauthn-passkey/,TECHNICAL EXPLAINER,WebAuthn,Passkeys; FIDO2; Attestation,FIDO & WebAuthn,1,"How the web platform absorbed FIDO — what each WebAuthn level added, and why provenance now matters once passkeys sync.",Security architect,The browser grew a key store,"Every WebAuthn level, what it added",REFERENCE,LIFECYCLE,"Dominant object: the browser API surface as five stacked spec-level plates, each plate adding exactly one named capability — 2016 the W3C Credential Management API base plate; 2018 WebAuthn L1 CR exposing navigator.credentials.create() alongside CTAP2.0; 2021 L2 adding residentKey semantics and the large-blob extension; 2023 hybrid CTAP transport drawing a phone-to-desktop tunnel across the plate edge; 2026 an L3-era policy plate reading AAGUID + transport + attestation per credential. The relationship: the API accumulates surface while the origin binding underneath never changes, and that binding is the anti-phishing property. Stays inside the credential store: the private key — drawn with two visibly different custody models, a secure element for hardware keys and a platform vault for synced passkeys. Communicates externally: clientDataJSON, authenticatorData and the signature. Labels allowed: navigator.credentials, WebAuthn L1/L2/L3, CTAP2.0, conditional mediation, AAGUID. Varies from rec 142 in this VSG by using spec levels and API surface as markers rather than authenticator hardware.","Do not give synced passkeys and hardware-bound credentials identical key custody — iCloud Keychain and Google Password Manager sync the credential, a security key does not; Do not draw cross-device authentication as a cloud relay of the credential — hybrid transport proximity-checks over BLE and tunnels CTAP messages; Do not credit passkeys to a WebAuthn level — L2 (2021) laid the foundation, but the 2022 announcement was a platform decision; Do not label WebAuthn Level 3 as final — the page marks it a Working Draft; Do not show the relying party receiving a private key or any raw biometric","WebAuthn spec levels stacking from the W3C Credential Management API to synced passkeys and hybrid transport, ending in per-credential provenance policy.",ambisecure-resources-timelines-webauthn-passkey-1200x630.png,VSG-TIMELINE,resources.png,Not started,Shares VSG-TIMELINE; varied by dominant object (spec-level plates / API surface) and by era markers 2016/2018/2021/2023/2026. Closest overlap risk in the set is rec 142 (FIDO) — the two are split hardware-artefact vs spec-level and share no marker artefact. Possible consolidation candidate with rec 142 if the set is ever trimmed.
148,Resource,Secure-element evolution timeline,https://ambisecure.ambimat.com/resources/timelines/secure-elements/,TECHNICAL EXPLAINER,Secure Elements,SIM/eSIM; IoT security; Embedded security,Embedded security,2,"Tamper-resistant silicon kept one job — key custody and attestation — while moving from the SIM slot into TPMs, embedded SEs, eUICCs and IoT trust chips.",Device-security architect,"The same chip, five new jobs",Tamper-resistant silicon left the SIM slot,REFERENCE,LIFECYCLE,"Dominant object: one tamper-resistant die, drawn once and then shown relocating into five different host bodies across the years — 1991 a GSM SIM in a handset (ETSI GSM 11.11); 1999 a discrete TPM 1.0 soldered to a PC mainboard; 2011 an embedded SE beside the NFC controller in a phone, distinct from the SIM; 2014 an eUICC remotely provisioned under GSMA SGP.22; 2022 an I2C/SPI IoT secure element next to a host MCU. The relationship: the die's job — tamper-resistant key custody plus attestation primitives — is constant; only the host and the bus change. Stays inside hardware at every marker: private keys and attestation keys, never visible on the bus. Communicates externally: the host interface (I2C / SPI / ISO 7816-3) and an attestation statement a tenant-scoped service verifies. Labels allowed: GSM 11.11, TPM 1.0/2.0, eSE, SGP.22, SGP.32, I2C/SPI, CC EAL5+/EAL6+. Varies from rec 146 in this VSG by relocating one die across host products rather than subdividing one die internally.","Do not conflate eSIM with eUICC — the eUICC is the secure element, the eSIM profile is what gets provisioned onto it; Do not show the eSE and the SIM as one chip after 2011 — the page states the eSE became a distinct element; Do not show a host MCU or CPU reading key material out of the secure element over I2C/SPI; Do not treat a TPM as a smart-card secure element — the page tracks them as parallel branches that only converge conceptually; Do not attribute CC EAL5+/EAL6+ to a whole product — the certifications named belong to the secure-element chip platform","One tamper-resistant die migrating from GSM SIM to TPM, embedded SE, eUICC and IoT trust chip, holding key custody constant as only the host changes.",ambisecure-resources-timelines-secure-elements-1200x630.png,VSG-TIMELINE,resources.png,Not started,"Shares VSG-TIMELINE; varied by dominant object (one die relocating across hosts) and by era markers 1991/1999/2011/2014/2022. Body's 2017 entry is loosely worded (""Eventually GSMA SGP.32..."" under a 2017 SGP.02 heading) — flag for human review; brief avoids that marker."
149,Resource,Base32 Encoder and Decoder,https://ambisecure.ambimat.com/resources/tools/base32/,ENGINEERING TOOL,Other,,Encoding utilities,2,"Encodes and decodes Base32 and base32hex locally — the case-insensitive alphabet behind otpauth:// TOTP secrets, QR codes, and NSEC3 keys — and shows why the two alphabets are not interchangeable.",Security practitioner,The alphabet behind your TOTP secret,"Two alphabets, not interchangeable",TOOL,COMPARISON,"Dominant object is an otpauth:// URI strip with its secret= parameter pulled out and magnified into a run of Base32 characters, which then forks onto two alphabet rails: standard A-Z 2-7 tagged 'TOTP, 2FA apps' and base32hex 0-9 A-V tagged 'sort-preserving, NSEC3'. The relationship is one secret, two mutually incompatible decodings — a small struck chip shows a cross-alphabet decode yielding different bytes. Five nodes maximum: otpauth URI, extracted secret, standard rail, base32hex rail, a '5 bytes to 8 characters' ratio chip. The decoded result renders as hex, never as words. All inside a browser-boundary frame; nothing is uploaded. Variation within VSG-ENCODING-CONVERTER: anchored on a real otpauth:// URI with alphabet rails and an overhead ratio chip, unlike the base64 fork or the base64url fan. Allowed labels: otpauth://, secret=, A-Z 2-7, 0-9 A-V, RFC 6238.","Do not show 0, 1, or 8 anywhere in the standard Base32 alphabet — they are not in it and usually signal transcription errors for O, I/L, and B; Do not imply the tool generates, verifies, or times TOTP codes — it only encodes and decodes bytes; Do not present a TOTP shared secret as phishing-resistant — unlike FIDO2 it is not origin-bound; Do not render a decoded secret as readable text — the bytes are a raw key and fall back to hex","An otpauth:// secret expanded to Base32 and split across the A-Z 2-7 rail and the sort-preserving base32hex rail, decoded locally in an AmbiSecure browser tool.",ambisecure-resources-tools-base32-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,"TOTP sits adjacent to, not inside, the FIDO2 narrative — the image must not imply shared-secret 2FA is phishing-resistant."
150,Resource,URL Encoder and Decoder,https://ambisecure.ambimat.com/resources/tools/url-encoder/,ENGINEERING TOOL,Other,,Encoding utilities,3,"Percent-encodes and decodes using the browser's own encodeURI and encodeURIComponent primitives, making explicit the component-versus-full-URL distinction that quietly corrupts query strings.",Security practitioner,"Component or full URL, not the same",Why + is not always a space,TOOL,COMPARISON,"Dominant object is one dissected URL bar with its structural delimiters lit up as separators — : / ? # & = — segmenting scheme, host, path, query, and fragment. Beneath it, a single query value containing & and = is pushed down two lanes: encodeURIComponent, where the delimiters become %26 and %3D and the value stays sealed inside its field; and encodeURI, where they survive intact and the value visibly breaks out and corrupts the next field, marked as the failure case. Five nodes maximum: URL bar, delimiter set, the value, the component lane, the full-URL lane. A small toggle chip shows %20 versus + for spaces. Inside a browser-boundary frame. Variation within VSG-ENCODING-CONVERTER: the dominant object is a structural URL bar with a break-out consequence, not a byte, alphabet, or codepoint mapping. Allowed labels: %20, +, %26, encodeURIComponent, encodeURI. Must not imply escaping is a security control.","Do not imply percent-encoding sanitises input or defends against injection — it is a syntax rule, not a security control; Do not show + decoding to a space inside a path — that holds only for form-urlencoded data, where + is otherwise a literal plus; Do not depict double-encoding, where % becomes %25, as a correct result; Do not show a URL carrying a token or session identifier being sent anywhere — encoding is local","A dissected URL bar with delimiters lit, contrasting a query value safely escaped by component encoding against the same value breaking out under encodeURI.",ambisecure-resources-tools-url-encoder-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Commodity utility with no hardware-security tie; supporting reference and internal-link filler only.
151,Resource,JSON Formatter and Minifier,https://ambisecure.ambimat.com/resources/tools/json-formatter/,ENGINEERING TOOL,Other,,Developer utilities,3,"Pretty-prints, minifies, and recursively sort-keys JSON in-browser through native JSON.parse with a precise line and column on failure, so captured traces read cleanly and configs diff without reordering noise.",Security practitioner,"Format JSON, diff without the noise","Parse first, then print",TOOL,DATA PARSER,"Dominant object is a one-line minified response body entering a single parse gate and emerging as three alternative outputs — every mode parses first, so the gate doubles as a validity check. Five nodes maximum: the minified input strip, the JSON.parse gate (with a small 'line 12, column 5' error tag on its reject path), a pretty-printed block carrying a 2 / 4 / tab indent chip, a re-minified strip, and a sort-keys output rendered as two config panes diffing cleanly with only real changes highlighted. Everything is contained by a browser-boundary frame — the payload may hold tokens and never leaves. Variation within VSG-JSON-WORKBENCH: this is the one-in, three-out transform fan around a parse gate; rec 152 owns the error caret and pointer rail, rec 97 owns the storage containment. Allowed labels: JSON.parse, 2 / 4 / tab, sort keys, line 12 column 5. Must not imply schema checking.","Do not show sort-keys reordering array elements — only object members are sorted, arrays keep their order; Do not depict schema validation on this page — that belongs to the JSON validator; Do not show a server or API formatting the payload — parsing is local, which is what makes it safe for JSON holding tokens; Do not show trailing commas, comments, or single-quoted keys being accepted as valid JSON","A minified trace body passing a JSON.parse gate and emerging pretty-printed, minified and key-sorted for clean diffs — formatted locally, never uploaded.",ambisecure-resources-tools-json-formatter-1200x630.png,VSG-JSON-WORKBENCH,resources.png,Not started,Near-duplicate scope with the JSON validator and JSON bin builder; consolidation candidate.
152,Resource,JSON Validator,https://ambisecure.ambimat.com/resources/tools/json-validator/,ENGINEERING TOOL,Other,Attestation; WebAuthn,Developer utilities,3,"Turns a terse 'Unexpected token' into a 1-based line, column, and snippet, and optionally checks an instance against a JSON Schema subset with a JSON Pointer on every violation — all client-side.",Security practitioner,"Line, column, and the exact character",Every violation gets a JSON Pointer,TOOL,DATA PARSER,"Dominant object is a JSON instance block with a caret pinned hard to one offending character, captioned 'line 8, column 14' — the location, not the layout, is the whole subject. Below it runs a findings rail listing schema violations addressed by JSON Pointer, the top row reading /items/2/port. Five nodes maximum: instance block, pinned error caret, optional schema panel, the result badge set (VALID JSON / INVALID JSON / SCHEMA PASS / SCHEMA FAIL), the pointer findings rail. A browser-boundary frame encloses both inputs: no network request, no telemetry, no storage, which matters when the instance is a credential, access policy, or attestation blob. Variation within VSG-JSON-WORKBENCH: this is the error-locator caret plus pointer rail — no transform outputs (rec 151) and no storage shelf (rec 97). Allowed labels: /items/2/port, line 8 column 14, SCHEMA FAIL, draft 2020-12.","Do not imply full JSON Schema conformance — format assertions, remote $ref, if/then/else, dependentSchemas, and unevaluatedProperties are out of scope; Do not present schema validation as a security check on an attestation payload — a well-formed blob is not a verified one; Do not show pretty-printing or minifying here — that is the JSON formatter's job; Do not draw an upload, storage, or telemetry path — both instance and schema stay on the page","A JSON instance with a caret pinned to the exact failing character beside a rail of schema violations addressed by JSON Pointer, checked inside the browser.",ambisecure-resources-tools-json-validator-1200x630.png,VSG-JSON-WORKBENCH,resources.png,Not started,Overlaps the JSON formatter and bin builder. Copy inconsistency for human review: this page claims a draft 2020-12 subset while the JSON bin builder (rec 97) describes its validator as Draft-07 style.
153,Resource,XML Formatter and Validator,https://ambisecure.ambimat.com/resources/tools/xml-formatter/,ENGINEERING TOOL,Other,PKI,Markup & data-format engineering,3,"Pretty-print, minify, or well-formedness-check XML entirely in the browser via DOMParser, which never resolves DTDs or external entities.",Security practitioner,Format XML without external entities,Well-formed is not the same as valid,TOOL,DATA PARSER,"Dominant object is a single browser-framed panel holding a dense one-line XML string on the left and the same document re-serialized with indentation on the right. The flow runs through exactly four nodes: raw minified XML, the browser DOMParser, a resulting element tree, and the indented output; a fifth node sits off to the side as a severed branch, a <!DOCTYPE> / external-entity URL reference struck through to show it is never fetched. Everything stays inside the browser frame — no server, no network leg, no upload arrow anywhere. Permitted labels: <soap:Envelope>, <!DOCTYPE>, DOMParser, well-formed, and a parse-error line/column marker; within VSG-MARKUP-FORMATTER this page is the only one whose dominant object is a document-tree re-serialization with a cut external-entity branch. Must not imply that the tool checks conformance to a DTD, XSD, or RELAX NG grammar.","Do not show an XSD, DTD, or schema badge with a green tick implying validation; do not draw XML uploading to a server or cloud; do not depict an external entity or DTD URL being successfully fetched; do not present the formatter as an XXE vulnerability scanner or attack tool","AmbiSecure XML tool concept art: minified markup entering the browser DOMParser, indented output returned, and a DTD external-entity fetch cut off in-browser.",ambisecure-resources-tools-xml-formatter-1200x630.png,VSG-MARKUP-FORMATTER,resources.png,Not started,Generic developer utility with limited commercial pull; the no-DTD/no-XXE angle is its only security differentiator. Consolidation candidate with the JSON Formatter page if the utility tools are ever merged.
154,Resource,Binary Calculator,https://ambisecure.ambimat.com/resources/tools/binary-calculator/,CALCULATOR,Other,APDU; Embedded security,Embedded & smart-card engineering,2,A BigInt-backed base converter and bitwise calculator that keeps 8/16/32/64-bit results exact where native JavaScript bit operations silently truncate to signed 32 bits.,Embedded engineer,Bitwise math that survives 64 bits,"One value, four bases, exact widths",TOOL,TECHNICAL WORKBENCH,"Dominant object is a two-panel workbench: a base converter on the left and a bitwise operation panel on the right, sharing one width/signedness setting shown as a connecting rail between them. Five nodes maximum: a single typed value (0x9000), its four-base readout (binary, decimal, hex, octal), the nibble-grouped bit view 1001 0000 0000 0000, the width selector 8/16/32/64, and one operation tile (A XOR B). All computation is drawn inside the browser chrome with a BigInt marker on the compute path — no server leg, since register dumps and key material never leave the page. Permitted labels: 0x9000, 0xFF, AND/OR/XOR/NOT, two's complement, BigInt; within VSG-ENCODING-CONVERTER this page varies the family by using a dual-panel calculator with a shared width rail rather than a single linear text-conversion pipe. Must not imply the tool decodes or interprets protocol structures — it operates on values, not messages.","Do not render 0xFFFFFFFF & 0xFFFFFFFF as -1 as though the tool produced it — that is the native-JS trap the page exists to avoid; do not draw operands or results travelling to a server; do not depict logical and arithmetic right shift as the same operation; do not imply the calculator parses APDUs, TLV records, or EMV tags","Concept art for the AmbiSecure binary calculator: a value read at once in four bases beside a bitwise panel, with width masking and two's-complement views.",ambisecure-resources-tools-binary-calculator-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,
155,Resource,Byte Offset Calculator,https://ambisecure.ambimat.com/resources/tools/byte-offset-calculator/,ENGINEERING TOOL,APDU,BER-TLV; Smart cards; NFC,Smart-card engineering,2,"Turns a wall of hex into a position-addressable offset table and reads any slice as an integer in both byte orders, signed and unsigned.",Smart-card engineer,Which byte sits at which offset,"Both offset bases, both byte orders",TOOL,DATA PARSER,"Dominant object is a monospaced hex dump with a triple offset gutter running down its left edge — 0-based decimal, 0-based hex, and 1-based decimal side by side — which is the page's whole argument made visible. Five nodes maximum: the offset gutter, the grouped hex rows, the printable-ASCII column with dots standing in for bytes outside 0x20-0x7E, a bracket selecting a two-byte slice, and a readout tile giving that slice's big-endian and little-endian values. The bracket sits over 90 00, and one row is annotated at the Lc field of an ISO 7816 command; the whole dump stays inside a browser frame with no upload path. Permitted labels: 00 A4 04 00 07, Lc, SW1 SW2, 0x00/0x10 offsets, big-endian/little-endian; within VSG-BYTE-PARSER this page's dominant object is an offset-gutter dump with a slice bracket, not a decoded tag tree. Must not imply the tool assigns meaning to tags or judges whether the APDU is correct.","Do not show BER-TLV tags decoded into a labelled tree — this tool addresses bytes by position and does not interpret tag semantics; do not show a short slice zero-padded, since running past the end raises an error; do not draw hex bytes being sent to a server; do not imply it validates APDU correctness or explains what a status word means","Planned AmbiSecure visual: a hex dump with decimal, hex and 1-based offset gutters plus ASCII preview, one slice bracketed and read in both byte orders.",ambisecure-resources-tools-byte-offset-calculator-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,Overlaps in audience with the Hex-Bytes and TLV Parser tools it links to; keep the offset-gutter dominant object distinct from the TLV parser's tag-tree visual so the VSG-BYTE-PARSER family does not converge.
156,Resource,CRC Calculator,https://ambisecure.ambimat.com/resources/tools/crc-calculator/,CALCULATOR,Other,Embedded security; IoT security,Protocol integrity,2,"One generic BigInt CRC engine driven by the six parameters that actually define a variant, with 70+ reveng presets and a live check-value badge, all in-browser.",Embedded engineer,Six parameters define every CRC,CRC-16 alone tells you nothing,TOOL,TECHNICAL WORKBENCH,"Dominant object: a rack of six dials — width, poly, init, RefIn, RefOut, XorOut — feeding a single shift-register engine, with message bytes entering from the left. Flow: the string 123456789 runs through the engine and lands on a check-value badge compared against the catalogue figure, while a small fan of preset chips (MODBUS, XMODEM, CRC-32C, CCITT-FALSE) points back at the dial rack to show each preset is just a six-tuple; five nodes — input bytes, dial rack, engine, hex CRC result, check badge. Everything computes in-browser, so no upload path is drawn — proprietary frame layouts stay local. Labels allowed: the six parameter names, 0x-prefixed poly values, the preset names, 123456789. Must not present the CRC as tamper-evident or as a hash.",Do not present a CRC as a security or tamper-detection mechanism; Do not label the engine 'CRC-16' or 'CRC-32' without its six parameters — the name alone does not pin a value; Do not draw the CRC result as a cryptographic digest; Do not show the payload being sent to a server to be computed,"Six dials — width, poly, init, RefIn, RefOut, XorOut — feeding one shift-register engine with a live check badge for 123456789 in AmbiSecure's CRC calculator.",ambisecure-resources-tools-crc-calculator-1200x630.png,VSG-CHECKSUM-CALC,resources.png,Not started,Uses an invented VSG-CHECKSUM-CALC to group the three non-cryptographic integrity calculators; VSG-CRYPTO-CALC would wrongly imply cryptographic strength.
157,Resource,LRC Calculator,https://ambisecure.ambimat.com/resources/tools/lrc-calculator/,CALCULATOR,Other,Embedded security,Protocol integrity,3,"Computes XOR and additive LRC variants over text or hex with optional STX/ETX framing and a step-by-step accumulator table, entirely client-side.",Embedded engineer,XOR or two's-complement — match the spec,Does the frame include STX and ETX,TOOL,TECHNICAL WORKBENCH,"Dominant object: a framed serial message laid out as one horizontal byte row — STX, body bytes, ETX, LRC trailer. Flow: a running accumulator strip beneath the row shows the value after each byte and terminates at the trailer; a two-way switch at the left selects XOR parity versus additive two's-complement, and a bracket over STX/ETX marks their coverage as toggleable — the page's most common mismatch. Four nodes: byte row, variant switch, accumulator strip, final LRC byte, plus a footnote chip contrasting Modbus ASCII (LRC) with Modbus RTU (CRC-16). Computation is local; no network element appears. Labels allowed: STX 0x02, ETX 0x03, LRC, XOR, two's-complement, Modbus ASCII. Must not imply tamper resistance. Within VSG-CHECKSUM-CALC this is the per-byte accumulator walk, unlike the CRC parameter rack.","Do not present an LRC as tamper protection — it detects accidental corruption only; Do not show STX/ETX as always covered — coverage varies by spec; Do not conflate the modulo-256 sum with its two's-complement form; Do not pair an LRC with Modbus RTU — RTU uses a 16-bit CRC, ASCII uses the LRC","A framed STX/body/ETX message with a running accumulator strip beneath, showing how AmbiSecure's LRC tool builds a trailing byte for Modbus ASCII-style links.",ambisecure-resources-tools-lrc-calculator-1200x630.png,VSG-CHECKSUM-CALC,resources.png,Not started,"Sibling of the CRC and checksum calculators, and the checksum tool also computes an XOR LRC — possible consolidation; keep the accumulator-walk visual distinct."
